0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:51:13 +0530] "GET /project_3/img/background-g1d93e894b_1920.jpg HTTP/1.1" 200 136107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:53:22 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15204
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:09:02 +0530] "POST /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15374
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:12:33 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16992
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:15:15 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16992
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:15:17 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16992
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:15:19 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16992
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:15:24 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 10391
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:19:42 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:19:42 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16992
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:19:51 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7123
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:19:57 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 7160
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:24:06 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:24:09 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6950
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:26:14 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6906
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:26:16 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6943
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:26:20 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6943
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:26:41 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:26:43 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6950
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:27:26 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6941
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:27:28 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6941
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:27:33 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6904
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:27:53 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:28:49 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6894
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:29:10 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:29:42 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6897
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:29:48 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6916
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:29:49 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6916
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:30:06 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:49:53 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:50:11 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:50:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [21/Jan/2023:14:50:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:00:46 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:00:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:00:47 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:00:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:00:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:00:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:00:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:00:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:00:59 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:00:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:00:59 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:00:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:01:34 +0530] "GET /project_3/ctl/SubjectListCtl HTTP/1.1" 200 15835
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:01:34 +0530] "GET /project_3/img/white.png HTTP/1.1" 200 1172603
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:01:40 +0530] "GET /project_3/ctl/SubjectCtl?id=5 HTTP/1.1" 200 13062
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:03:19 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 17686
